listing_id,name,price,latitude,longitude,accommodates,bathrooms,bedrooms,num_beds,rating_accuracy,rating_cleanliness,rating_communication,rating_location,rating_value,review_score_average,price_per_person,amenities_count,Quarter_Or_City
29765,"Luxury suite, Moroccan furnishings",295,42.37833822,-71.06662682,2,1,1,1,5,5.0,5.0,5.0,5.0,5.0,147.5,13,Charlestown
2167993,Boston Waterfront Navy Yard Condo,195,42.37638503,-71.05136255,2,1,1,1,5,5.0,5.0,4.5,5.0,4.9,97.5,20,Charlestown
3801772,Private Suite Steps to Tufts ,85,42.40990843,-71.11832372,2,1,1,1,5,5.0,5.0,5.0,5.0,5.0,42.5,9,Medford
859472,Small and cozy in  Watertown MA,50,42.37698015,-71.19366875,2,1,1,1,5,5.0,5.0,4.5,4.5,4.8,25.0,9,Watertown
1854010,"Spacious, bright, modern, private.",160,42.37161298,-71.1692733,4,1,1,2,5,5.0,5.0,4.5,5.0,4.9,40.0,10,Watertown
2759990,"Sunny, artsy, elegant near Boston",190,42.36746622,-71.16912202,6,1,2,3,5,4.5,5.0,4.5,4.5,4.7,31.666666666666668,13,Watertown
1826158,Nice 3 Bedrooms Apt near BU & BC,275,42.34822188,-71.13565893,6,1,3,4,5,4.5,4.5,4.5,4.5,4.6,45.833333333333336,9,Allston
3601424,Must Love Dogs,75,42.35288121,-71.15818307,2,1,1,1,5,5.0,5.0,5.0,5.0,5.0,37.5,14,Brighton
3847872,Beautiful 1BD Apartment in Boston!,200,42.35499521,-71.12963582,2,1,1,1,4,4.0,5.0,4.0,4.0,4.3,100.0,11,Allston
2227959,"Small Cozy Rm, Great Loc, Comfy Apt",65,42.34488949,-71.13714359,2,1,1,1,4,4.5,5.0,4.5,4.5,4.6,32.5,8,Brighton
217498,"Private bedroom, bath and lounge",99,42.35257298,-71.1505652,2,1,1,1,5,5.0,5.0,4.5,4.5,4.8,49.5,7,Brighton
2936066,Bright spacious room close to T,60,42.35017062,-71.14180173,1,1,1,1,5,5.0,5.0,5.0,4.5,4.9,60.0,9,Allston
466361,Funky Apartment in Boston-Brighton,75,42.36107764,-71.14232534,5,1,2,3,4,4.0,4.5,4.5,4.5,4.4,15.0,14,Brighton
4489752,Beautiful Boston 2 Bed Apartment,200,42.3411289,-71.14256187,5,1,2,2,0,,,,,4.694469026548672,40.0,13,Brighton
4538150,Adorable Allston Apartment,60,42.36073145,-71.12780414,2,1,1,1,0,,,,,4.694469026548672,30.0,11,Allston
3440659,Comfy private queen bed in Brighton,55,42.34266433,-71.14866371,2,1,1,1,4,4.5,4.5,4.5,4.5,4.5,27.5,7,Brighton
4476953,Brand New Apt 2min from Green Line!,148,42.34696298,-71.13381648,3,1,0,1,5,5.0,5.0,4.5,4.5,4.8,49.333333333333336,16,Allston
3829426,Spacious Private Room in Boston,74,42.34379754,-71.14372839,2,1,1,1,5,5.0,5.0,5.0,5.0,5.0,37.0,14,Brighton
2147504, Lovely bedroom in great home,80,42.37327857,-71.17432936,2,1,1,1,5,5.0,5.0,4.5,4.5,4.8,40.0,11,Watertown
504515,"Good location,cozy room,great host!",35,42.35295996,-71.13715616,1,2,1,1,5,4.5,5.0,4.5,5.0,4.8,35.0,8,Allston
1544702,Mary's Ocean View Metro Downtown,72,42.30944862,-71.04554952,3,2,1,2,5,5.0,5.0,4.5,5.0,4.9,24.0,8,Dorchester
1058543,Sunny top-floor apt Harvard/Central,80,42.36675889,-71.10754822,2,1,1,1,5,5.0,5.0,4.5,4.5,4.8,40.0,11,Cambridge
459074,Amazing Location In Central Square!,125,42.36290735,-71.1043495,2,1,1,1,5,5.0,5.0,5.0,4.5,4.9,62.5,6,Cambridge
366038,Pied a terre in heart of North End,150,42.35946326,-71.05909395,2,1,1,1,4,4.5,5.0,5.0,4.5,4.7,75.0,7,Downtown
3174762,Inman Sq Hideaway Cabana (near MIT),95,42.3763105,-71.09090838,2,1,1,1,5,5.0,5.0,4.5,4.5,4.8,47.5,8,Somerville
892738,Beautiful apt in Beacon Hill,180,42.35745937,-71.06579648,3,1,1,2,5,5.0,5.0,5.0,4.5,4.9,60.0,10,Beacon Hill
4068377,"""Porter Room"" - Spacious and Clean ",60,42.39355516,-71.12673449,1,1,1,1,4,5.0,5.0,5.0,4.5,4.8,60.0,7,Cambridge
4016007,Private entance 1st fl-room/bath,65,42.31209767,-71.21048735,2,1,1,1,5,5.0,5.0,5.0,5.0,5.0,32.5,8,Newton
